VTD,total_votes,biden_votes,pct_biden,trump_votes,pct_trump
2400301-001,1672,737,0.4407894736842105,893,0.5340909090909091
2400301-002,1418,655,0.4619181946403385,717,0.5056417489421721
2400301-003,1453,590,0.4060564349621473,822,0.565726083964212
2400301-004,1539,911,0.5919428200129955,595,0.3866146848602989
2400301-005,1301,864,0.6641045349730976,401,0.30822444273635663
2400301-006,1909,1371,0.7181770560502881,475,0.24882137244630698
2400301-007,1083,406,0.37488457987072943,629,0.5807940904893814
2400301-008,1603,609,0.3799126637554585,936,0.5839051777916406
2400301-009,1444,521,0.360803324099723,880,0.6094182825484764
2400301-010,1101,491,0.44595821980018163,573,0.5204359673024523
2400301-011,905,374,0.41325966850828727,505,0.5580110497237569
2400301-012,1787,1358,0.7599328483491886,390,0.21824286513710128
2400301-013,634,313,0.49369085173501576,307,0.4842271293375394
2400301-014,1321,571,0.43224829674489024,710,0.5374716124148372
2400301-015,1355,666,0.4915129151291513,648,0.4782287822878229
2400301-016,1144,543,0.47465034965034963,571,0.4991258741258741
2400301-017,910,470,0.5164835164835165,429,0.4714285714285714
2400301-018,1967,1218,0.6192170818505338,699,0.3553634977122522
2400301-019,1785,1312,0.735014005602241,421,0.23585434173669467
2400301-020,1849,1276,0.6901027582477015,517,0.27961060032449975
2400301-021,1858,1554,0.8363832077502691,257,0.13832077502691065
2400301-022,4583,3463,0.7556185904429413,997,0.21754309404320316
2400301-023,1585,1227,0.7741324921135647,320,0.20189274447949526
2400301-024,1176,863,0.733843537414966,285,0.2423469387755102
2400301-025,1076,577,0.5362453531598513,466,0.43308550185873607
2400301-026,2395,1998,0.8342379958246346,345,0.1440501043841336
2400302-001,1413,746,0.5279547062986554,612,0.43312101910828027
2400302-002,1268,733,0.5780757097791798,506,0.3990536277602524
2400302-003,1233,593,0.48094079480940793,602,0.4882400648824006
2400302-004,2014,1152,0.5719960278053625,813,0.40367428003972194
2400302-005,1474,873,0.5922659430122117,560,0.37991858887381275
2400302-006,1165,563,0.4832618025751073,566,0.4858369098712446
2400302-007,2046,1125,0.5498533724340176,865,0.4227761485826002
2400302-008,1732,761,0.43937644341801385,929,0.5363741339491916
2400302-009,1547,995,0.643180349062702,496,0.3206205559146736
2400302-010,1601,626,0.3910056214865709,939,0.5865084322298564
2400302-011,937,417,0.4450373532550694,491,0.5240128068303095
2400302-012,1083,452,0.41735918744228995,607,0.5604801477377654
2400302-013,1474,722,0.4898236092265943,691,0.4687924016282225
2400302-014,1887,1461,0.7742448330683624,371,0.1966083730789613
2400302-015,1695,1154,0.6808259587020649,480,0.2831858407079646
2400302-016,956,424,0.4435146443514644,507,0.5303347280334728
2400302-017,1744,1303,0.7471330275229358,405,0.23222477064220184
2400302-018,1172,792,0.6757679180887372,341,0.2909556313993174
2400302-019,1515,981,0.6475247524752475,499,0.32937293729372935
2400302-020,1695,943,0.5563421828908555,700,0.41297935103244837
2400302-021,2568,1248,0.48598130841121495,1242,0.48364485981308414
2400302-022,1800,688,0.38222222222222224,1044,0.58
2400302-023,2053,1139,0.5547978567949342,826,0.4023380418899172
2400302-024,1620,876,0.5407407407407407,696,0.42962962962962964
2400303-001,1519,510,0.3357472021066491,964,0.6346280447662936
2400303-002,1052,353,0.3355513307984791,670,0.6368821292775665
2400303-003,2155,727,0.3373549883990719,1366,0.6338747099767982
2400303-004,2064,858,0.41569767441860467,1145,0.5547480620155039
2400303-005,2414,1070,0.44324772162386084,1271,0.5265120132560066
2400303-006,6570,3917,0.5961948249619482,2479,0.37732115677321154
2400303-007,1568,683,0.43558673469387754,825,0.5261479591836735
2400303-008,1942,1069,0.5504634397528322,821,0.4227600411946447
2400303-009,833,295,0.35414165666266506,507,0.6086434573829532
2400303-010,1816,548,0.30176211453744495,1230,0.6773127753303965
2400303-011,1905,594,0.31181102362204727,1265,0.6640419947506562
2400303-012,1730,469,0.27109826589595376,1219,0.7046242774566474
2400303-013,1824,551,0.3020833333333333,1225,0.6716008771929824
2400303-014,1193,363,0.30427493713327747,808,0.6772841575859179
2400303-015,1252,400,0.3194888178913738,815,0.6509584664536742
2400303-016,1626,589,0.36223862238622384,980,0.6027060270602707
2400303-017,1582,443,0.2800252844500632,1099,0.6946902654867256
2400303-018,1957,605,0.3091466530403679,1310,0.6693919264179867
2400303-019,1636,464,0.28361858190709044,1143,0.6986552567237164
2400303-020,1373,361,0.2629278951201748,980,0.7137654770575382
2400303-021,1875,814,0.4341333333333333,987,0.5264
2400303-022,1353,572,0.42276422764227645,755,0.5580192165558019
2400303-023,1391,536,0.38533429187634793,810,0.582314881380302
2400303-024,1785,667,0.37366946778711485,1070,0.5994397759103641
2400303-025,1335,827,0.6194756554307116,477,0.35730337078651686
2400304-001,1378,1022,0.7416545718432511,331,0.24020319303338172
2400304-002,2032,1294,0.6368110236220472,659,0.3243110236220472
2400304-003,1558,843,0.5410783055198973,663,0.42554557124518616
2400304-004,1817,818,0.45019262520638414,923,0.5079801871216291
2400304-005,1141,775,0.6792287467134093,338,0.2962313759859772
2400304-006,2218,1967,0.8868349864743011,209,0.09422903516681695
2400304-007,2252,1628,0.7229129662522202,544,0.24156305506216696
2400304-008,1570,830,0.5286624203821656,693,0.44140127388535033
2400304-009,2604,2195,0.8429339477726574,356,0.13671274961597543
2400304-010,1569,1030,0.6564690885914596,513,0.32695984703632885
2400304-011,1359,905,0.6659308314937454,407,0.2994849153789551
2400304-012,1488,859,0.5772849462365591,583,0.3918010752688172
2400304-013,1440,615,0.4270833333333333,777,0.5395833333333333
2400304-014,1517,714,0.47066578773895845,744,0.4904416611733685
2400304-015,2283,1185,0.519053876478318,1012,0.44327639071397285
2400304-016,1720,1202,0.6988372093023256,476,0.27674418604651163
2400304-017,1312,920,0.7012195121951219,354,0.2698170731707317
2400304-018,2400,1617,0.67375,714,0.2975
2400304-019,1568,1376,0.8775510204081632,167,0.10650510204081633
2400304-020,1727,1158,0.6705269253039954,523,0.3028372900984366
2400304-021,2657,1654,0.6225065863756116,925,0.34813699661272113
2400304-022,1545,1097,0.7100323624595469,405,0.2621359223300971
2400304-023,2754,1741,0.6321713870733479,936,0.33986928104575165
2400304-024,1825,1498,0.8208219178082192,279,0.15287671232876712
2400304-025,209,147,0.7033492822966507,59,0.2822966507177033
2400304-026,803,609,0.7584059775840598,167,0.20797011207970112
2400305-001,1927,1010,0.5241307732226258,851,0.4416190970420342
2400305-002,2015,1153,0.5722084367245658,799,0.3965260545905707
2400305-003,1743,953,0.546758462421113,734,0.42111302352266206
2400305-004,1756,885,0.5039863325740319,815,0.464123006833713
2400305-005,1648,933,0.5661407766990292,663,0.40230582524271846
2400305-006,1413,854,0.6043878273177636,517,0.36588818117480537
2400305-007,1428,764,0.5350140056022409,620,0.4341736694677871
2400305-008,1766,962,0.5447338618346546,736,0.41676104190260477
2400305-009,1081,601,0.5559666975023126,444,0.4107308048103608
2400305-010,905,428,0.47292817679558014,454,0.5016574585635359
2400305-011,1520,808,0.531578947368421,659,0.43355263157894736
2400305-012,1293,707,0.5467904098994586,537,0.41531322505800466
2400305-013,1581,827,0.5230866540164453,682,0.43137254901960786
2400305-014,1633,871,0.5333741579914268,706,0.43233312921004285
2400305-015,867,453,0.5224913494809689,387,0.4463667820069204
2400305-016,1279,692,0.54104769351055515,548,0.4284597341673182
2400305-017,1805,960,0.5318559556786704,797,0.44155124653739614
2400305-018,1607,911,0.566894835096453,644,0.4007467330429372
2400305-019,1397,755,0.5404438081603435,590,0.42233357193987114
2400305-020,1672,1007,0.6022727272727273,610,0.36483253588516745
2400305-021,2282,1270,0.5565293602103418,929,0.40709903593339175
2400305-022,1778,975,0.5483689538807649,727,0.40888638920134984
2400305-023,1224,717,0.5857843137254902,473,0.38643790849673204
2400305-024,1400,707,0.505,649,0.4635714285714286
2400305-025,1593,803,0.5040803515379787,743,0.46641556811048335
2400305-026,2788,1629,0.5842898134863702,1058,0.3794835007173601
2400305-027,1556,877,0.5636246786632391,622,0.39974293059125965
2400305-028,801,449,0.5605493133583022,332,0.41448189762796506
2400305-029,668,243,0.36377245508982037,397,0.594311377245509
2400305-030,881,446,0.5062429057888763,409,0.4642451759364359
2400305-031,504,251,0.498015873015873,237,0.47023809523809523
2400305-032,714,460,0.6442577030812325,232,0.32492997198879553
2400305-033,1606,705,0.43897882938978827,848,0.5280199252801993
2400305-034,989,563,0.5692618806875632,388,0.3923154701718908
2400305-035,159,78,0.49056603773584906,79,0.4968553459119497
2400306-001,2196,1596,0.726775956284153,540,0.2459016393442623
2400306-002,1570,1016,0.6471337579617834,508,0.3235668789808917
2400306-003,1114,937,0.8411131059245961,156,0.1400359066427289
2400306-004,530,433,0.8169811320754717,80,0.1509433962264151
2400306-005,1142,753,0.659369527145359,356,0.3117338003502627
2400306-006,725,599,0.8262068965517242,114,0.15724137931034482
2400306-007,876,633,0.7226027397260274,223,0.2545662100456621
2400306-008,1481,1064,0.7184334908845375,384,0.25928426738690075
2400306-009,1517,963,0.6348055372445617,507,0.33421226104152935
2400306-010,1245,734,0.5895582329317269,477,0.38313253012048193
2400306-011,1002,718,0.716566866267465,257,0.2564870259481038
2400306-012,1595,1159,0.7266457680250784,387,0.2426332288401254
2400306-013,932,736,0.7896995708154506,174,0.18669527896995708
2400306-014,1560,1238,0.7935897435897435,294,0.18846153846153846
2400306-015,1194,899,0.7529313232830821,267,0.2236180904522613
2400306-016,806,650,0.8064516129032258,140,0.17369727047146402
2400306-017,1571,1104,0.7027371101209421,433,0.27562062380649266
2400306-018,1768,1213,0.6860859728506787,507,0.2867647058823529
2400306-019,2224,1285,0.5777877697841727,895,0.40242805755395683
2400306-020,1263,769,0.6088677751385589,479,0.37925574030087095
2400306-021,814,400,0.4914004914004914,387,0.47542997542997545
2400306-022,1810,1153,0.6370165745856353,589,0.32541436464088397
2400306-023,1370,902,0.6583941605839416,427,0.3116788321167883
2400306-024,1374,986,0.7176128093158661,347,0.25254730713246
2400306-025,1401,847,0.6045681655960029,509,0.36331192005710206
2400306-026,2602,1438,0.5526518063028439,1087,0.41775557263643354
2400306-027,783,369,0.47126436781609193,397,0.5070242656449553
2400306-028,1409,718,0.5095812633073101,652,0.4627395315826828
2400306-029,966,525,0.5434782608695652,409,0.42339544513457555
2400306-030,1557,1049,0.6737315350032113,471,0.302504816955684
2400306-031,1260,697,0.5531746031746032,539,0.42777777777777776
2400306-032,1454,859,0.5907840440165062,542,0.37276478679504815
2400307-001,2253,931,0.4132268086995118,1270,0.5636928539724811
2400307-002,2068,958,0.4632495164410058,1059,0.5120889748549323
2400307-003,1462,773,0.5287277701778386,660,0.45143638850889195
2400307-004,1466,660,0.45020463847203274,764,0.5211459754433834
2400307-005,2822,1299,0.4603118355776045,1448,0.513111268603827
2400307-006,2622,1129,0.4305873379099924,1410,0.5377574370709383
2400307-007,2019,926,0.45864289252105,1052,0.521050024764735
2400307-008,1701,777,0.4567901234567901,885,0.5202821869488536
2400307-009,1665,834,0.5009009009009009,787,0.47267267267267266
2400307-010,1974,868,0.4397163120567376,1061,0.5374873353596757
2400307-011,669,275,0.4110612855007474,368,0.55007473841554555
2400307-012,1090,527,0.4834862385321101,528,0.48440366972477067
2400307-013,1880,931,0.4952127659574468,889,0.4728723404255319
2400307-014,1249,758,0.6068855084067254,442,0.35388310648518817
2400307-015,1743,1025,0.5880665519219737,648,0.3717728055077453
2400307-016,1731,1207,0.6972848064702484,465,0.268630849220104
2400307-017,1028,597,0.580739299610895,379,0.36867704280155644
2400307-018,1799,1107,0.6153418565869928,642,0.3568649249583102
2400307-019,1177,500,0.42480883602378927,651,0.5531011045029737
2400307-020,1360,871,0.6404411764705882,430,0.3161764705882353
2400307-021,2053,787,0.38334145153434,1212,0.5903555772040916
2400307-022,2029,966,0.4760965993100049,1017,0.5012321340561853
2400307-023,2346,1193,0.5085251491901108,1093,0.4658994032395567
2400307-024,2034,1175,0.5776794493608652,779,0.3829891838741396
2400307-025,1781,754,0.4233576642335766,988,0.5547445255474452
2400307-026,1729,939,0.5430884904569115,728,0.42105263157894735
2400307-027,2436,1218,0.5,1162,0.47701149425287354
2400501-001,3931,3487,0.8870516408038667,375,0.09539557364538286
2400501-002,1260,1119,0.888095238095238,122,0.09682539682539683
2400501-003,2499,2002,0.8011204481792717,446,0.17847138855542216
2400501-004,2912,2312,0.7939560439560439,534,0.18337912087912087
2400501-005,2728,2205,0.8082844574780058,465,0.17045454545454544
2400501-006,2697,2479,0.9191694475342974,175,0.06488691138301816
2400501-007,1535,1171,0.7628664495114007,323,0.21042345276872965
2400501-008,2993,1990,0.6648847310390912,872,0.2913464751085867
2400501-009,1847,1307,0.707634001082837,488,0.2642122360584732
2400501-010,2346,1553,0.6619778346121057,711,0.3030690537084399
2400501-011,2128,1204,0.5657894736842105,819,0.3848684210526316
2400501-012,3043,1802,0.5921787709497207,1112,0.365428853105488
2400501-013,2518,1614,0.6409849086576648,808,0.32088959491660046
2400501-014,2243,1251,0.5577351761034329,922,0.41105662059741416
2400501-015,2414,1571,0.6507870753935378,757,0.3135874067937034
2400501-016,1785,1061,0.5943977591036415,700,0.39215686274509803
2400501-017,2878,2654,0.9221681723419041,197,0.0684503127171647
2400502-001,1244,1191,0.957395498392283,43,0.03456591639871383
2400502-002,2325,2194,0.9436559139784946,99,0.04258064516129032
2400502-003,354,320,0.903954802259887,30,0.0847457627118644
2400502-004,1982,1845,0.9308779011099899,109,0.0549949545913219
